id,smarts,entry_id,mechanism_id
0,[N&D1&v3&H2&+0&!R:1]-[C@@&D3&v4&H1&+0&!R&z1:2](-[C&D2&v4&H2&+0&!R&z0:3])-[C&D3&v4&H0&+0&!R&z2:4](=[O&D1&v2&H0&+0&!R:5])-[O&D1&v2&H1&+0&!R:6]>>[N&D1&v3&H2&+0&!R:1]-[C&D3&v4&H1&+0&!R&z1:2](-[C&D2&v4&H2&+0&!R&z0:3])-[C&D3&v4&H0&+0&!R&z2:4](=[O&D1&v2&H0&+0&!R:6])-[O&D1&v2&H1&+0&!R:5],[1],[1]
1,[N&D1&v3&H2&+0&!R:1]-[C&D3&v4&H1&+0&!R&z1:2](-[C&D2&v4&H2&+0&!R&z0:3])-[C&D3&v4&H0&+0&!R&z2:4](=[O&D1&v2&H0&+0&!R:5])-[O&D1&v2&H1&+0&!R:6]>>[N&D1&v3&H2&+0&!R:1]-[C@@&D3&v4&H1&+0&!R&z1:2](-[C&D2&v4&H2&+0&!R&z0:3])-[C&D3&v4&H0&+0&!R&z2:4](=[O&D1&v2&H0&+0&!R:6])-[O&D1&v2&H1&+0&!R:5],[1],[1]
2,[C&D3&v4&H0&+0&R&z2:1](=[O&D1&v2&H0&+0&!R:2])-[N&D3&v3&H0&+0&R:3].[O&D0&v2&H2&+0&!R:4]>>([C&D3&v4&H0&+0&!R&z2:1](=[O&D1&v2&H0&+0&!R:2])-[O&D1&v2&H1&+0&!R:4].[N&D2&v3&H1&+0&R:3]),"[2, 2, 210, 257]","[2, 1, 1, 1]"
3,([C&D3&v4&H0&+0&!R&z2:1](=[O&D1&v2&H0&+0&!R:2])-[O&D1&v2&H1&+0&!R:3].[N&D2&v3&H1&+0&R:4])>>[C&D3&v4&H0&+0&R&z2:1](=[O&D1&v2&H0&+0&!R:2])-[N&D3&v3&H0&+0&R:4].[O&D0&v2&H2&+0&!R:3],"[2, 2, 210, 257]","[2, 1, 1, 1]"
4,[N&D3&v3&H0&+0&R:1]1-[C&D2&v4&H1&+0&R&z1:2]=[C&D2&v4&H1&+0&R&z0:3]-[C&D2&v4&H2&+0&R&z0:4]-[C&D3&v4&H0&+0&R&z0:5]=[C&D2&v4&H1&+0&R&z1:6]-1.[O&D1&v2&H0&+0&!R:7]=[C&D3&v4&H0&+0&R&z1:8]1-[C&D2&v4&H1&+0&R&z0:9]=[C&D2&v4&H1&+0&R&z0:10]-[C&D3&v4&H0&+0&R&z1:11](=[O&D1&v2&H0&+0&!R:12])-[C&D2&v4&H1&+0&R&z0:13]=[C&D2&v4&H1&+0&R&z0:14]-1>>[O&D1&v2&H1&+0&!R:7]-[c&D3&v4&H0&+0&R&z1:8]1:[c&D2&v4&H1&+0&R&z0:9]:[c&D2&v4&H1&+0&R&z0:10]:[c&D3&v4&H0&+0&R&z1:11](-[O&D1&v2&H1&+0&!R:12]):[c&D2&v4&H1&+0&R&z0:13]:[c&D2&v4&H1&+0&R&z0:14]:1.[n&D3&v4&H0&+&R:1]1:[c&D2&v4&H1&+0&R&z1:2]:[c&D2&v4&H1&+0&R&z0:3]:[c&D2&v4&H1&+0&R&z0:4]:[c&D3&v4&H0&+0&R&z0:5]:[c&D2&v4&H1&+0&R&z1:6]:1,[3],[1]
5,[O&D1&v2&H1&+0&!R:1]-[c&D3&v4&H0&+0&R&z1:2]1:[c&D2&v4&H1&+0&R&z0:3]:[c&D2&v4&H1&+0&R&z0:4]:[c&D3&v4&H0&+0&R&z1:5](-[O&D1&v2&H1&+0&!R:6]):[c&D2&v4&H1&+0&R&z0:7]:[c&D2&v4&H1&+0&R&z0:8]:1.[n&D3&v4&H0&+&R:9]1:[c&D2&v4&H1&+0&R&z1:10]:[c&D2&v4&H1&+0&R&z0:11]:[c&D2&v4&H1&+0&R&z0:12]:[c&D3&v4&H0&+0&R&z0:13]:[c&D2&v4&H1&+0&R&z1:14]:1>>[N&D3&v3&H0&+0&R:9]1-[C&D2&v4&H1&+0&R&z1:10]=[C&D2&v4&H1&+0&R&z0:11]-[C&D2&v4&H2&+0&R&z0:12]-[C&D3&v4&H0&+0&R&z0:13]=[C&D2&v4&H1&+0&R&z1:14]-1.[O&D1&v2&H0&+0&!R:1]=[C&D3&v4&H0&+0&R&z1:2]1-[C&D2&v4&H1&+0&R&z0:3]=[C&D2&v4&H1&+0&R&z0:4]-[C&D3&v4&H0&+0&R&z1:5](=[O&D1&v2&H0&+0&!R:6])-[C&D2&v4&H1&+0&R&z0:7]=[C&D2&v4&H1&+0&R&z0:8]-1,[3],[1]
6,[O&D1&v2&H0&+0&!R:1]=[N&D2&v3&H0&+0&!R:2]-[O&D1&v2&H1&+0&!R:3]>>[N&D1&v3&H1&+0&!R:2]=[O&D1&v2&H0&+0&!R:1].[O&D0&v2&H2&+0&!R:3],"[4, 4]","[2, 1]"
7,[N&D1&v3&H1&+0&!R:1]=[O&D1&v2&H0&+0&!R:2].[O&D0&v2&H2&+0&!R:3]>>[O&D1&v2&H0&+0&!R:2]=[N&D2&v3&H0&+0&!R:1]-[O&D1&v2&H1&+0&!R:3],"[4, 4]","[2, 1]"
8,[C&D3&v4&H0&+0&R&z0:1]1=[C&D2&v4&H1&+0&R&z1:2]-[N&D3&v3&H0&+0&R:3]-[C&D2&v4&H1&+0&R&z1:4]=[C&D2&v4&H1&+0&R&z0:5]-[C&D2&v4&H2&+0&R&z0:6]-1.[S&D2&v2&H0&+0&!R:7]-[S&D2&v2&H0&+0&!R:8]>>[S&D1&v2&H1&+0&!R:7].[S&D1&v2&H1&+0&!R:8].[c&D3&v4&H0&+0&R&z0:1]1:[c&D2&v4&H1&+0&R&z0:6]:[c&D2&v4&H1&+0&R&z0:5]:[c&D2&v4&H1&+0&R&z1:4]:[n&D3&v4&H0&+&R:3]:[c&D2&v4&H1&+0&R&z1:2]:1,"[6, 627]","[1, 1]"
9,[S&D1&v2&H1&+0&!R:1].[S&D1&v2&H1&+0&!R:2].[c&D3&v4&H0&+0&R&z0:3]1:[c&D2&v4&H1&+0&R&z0:4]:[c&D2&v4&H1&+0&R&z0:5]:[c&D2&v4&H1&+0&R&z1:6]:[n&D3&v4&H0&+&R:7]:[c&D2&v4&H1&+0&R&z1:8]:1>>[C&D3&v4&H0&+0&R&z0:3]1=[C&D2&v4&H1&+0&R&z1:8]-[N&D3&v3&H0&+0&R:7]-[C&D2&v4&H1&+0&R&z1:6]=[C&D2&v4&H1&+0&R&z0:5]-[C&D2&v4&H2&+0&R&z0:4]-1.[S&D2&v2&H0&+0&!R:1]-[S&D2&v2&H0&+0&!R:2],"[6, 627]","[1, 1]"
10,[C&D2&v4&H2&+0&!R&z0:1]-[C@&D3&v4&H1&+0&!R&z0:2](-[C&D3&v4&H0&+0&!R&z2:3]-[O&D1&v2&H1&+0&!R:4])-[C@&D3&v4&H1&+0&!R&z1:5](-[O&D1&v2&H1&+0&!R:6])~[*:7]~[O&D1&v2&H1&+0&!R:8].[c&D3&v4&H0&+0&R&z0:9]1:[c&D2&v4&H1&+0&R&z0:10]:[c&D2&v4&H1&+0&R&z0:11]:[c&D2&v4&H1&+0&R&z1:12]:[n&D3&v4&H0&+&R:13]:[c&D2&v4&H1&+0&R&z1:14]:1>>[C&D2&v4&H2&+0&!R&z0:1]-[C&D2&v4&H2&+0&!R&z0:2]-[C&D3&v4&H0&+0&!R&z1:5](=[O&D1&v2&H0&+0&!R:6])~[*:7]~[O&D1&v2&H1&+0&!R:8].[C&D3&v4&H0&+0&R&z0:9]1=[C&D2&v4&H1&+0&R&z1:14]-[N&D3&v3&H0&+0&R:13]-[C&D2&v4&H1&+0&R&z1:12]=[C&D2&v4&H1&+0&R&z0:11]-[C&D2&v4&H2&+0&R&z0:10]-1.[O&D1&v2&H0&+0&!R:4]=[C&D2&v4&H0&+0&!R&z2:3],"[7, 7, 7]","[2, 1, 3]"
11,[C&D2&v4&H2&+0&!R&z0:1]-[C&D2&v4&H2&+0&!R&z0:2]-[C&D3&v4&H0&+0&!R&z1:3](=[O&D1&v2&H0&+0&!R:4])~[*:5]~[O&D1&v2&H1&+0&!R:6].[C&D3&v4&H0&+0&R&z0:7]1=[C&D2&v4&H1&+0&R&z1:8]-[N&D3&v3&H0&+0&R:9]-[C&D2&v4&H1&+0&R&z1:10]=[C&D2&v4&H1&+0&R&z0:11]-[C&D2&v4&H2&+0&R&z0:12]-1.[O&D1&v2&H0&+0&!R:13]=[C&D2&v4&H0&+0&!R&z2:14]>>[C&D2&v4&H2&+0&!R&z0:1]-[C@&D3&v4&H1&+0&!R&z0:2](-[C&D3&v4&H0&+0&!R&z2:14]-[O&D1&v2&H1&+0&!R:13])-[C@&D3&v4&H1&+0&!R&z1:3](-[O&D1&v2&H1&+0&!R:4])~[*:5]~[O&D1&v2&H1&+0&!R:6].[c&D3&v4&H0&+0&R&z0:7]1:[c&D2&v4&H1&+0&R&z0:12]:[c&D2&v4&H1&+0&R&z0:11]:[c&D2&v4&H1&+0&R&z1:10]:[n&D3&v4&H0&+&R:9]:[c&D2&v4&H1&+0&R&z1:8]:1,"[7, 7, 7]","[2, 1, 3]"
12,[C&D2&v4&H2&+0&!R&z1:1]-[C@@&D3&v4&H1&+0&R&z1:2]1-[O&D2&v2&H0&+0&R:3]-[C@&D3&v4&H1&+0&R&z2:4](-[O&D2&v2&H0&+0&!R:5]~[*:6](~[O&D1&v2&H0&+0&!R:7])(~[O&D1&v2&H1&+0&!R:8])~[*:9]~[*:10](~[O&D1&v2&H0&+0&!R:11])~[O&D1&v2&H1&+0&!R:12])~[H1@:13](~[O&D1&v2&H1&+0&!R:14])~[C@&D3&v4&H1&+0&R&z1:15]-1-[O&D1&v2&H1&+0&!R:16].[n&D2&v3&H0&+0&R:17]:[c&D3&v4&H0&+0&R&z1:18]-[C&D3&v4&H0&+0&!R&z2:19]-[O&D1&v2&H1&+0&!R:20]>>[O&D1&v2&H0&+0&!R:20]=[C&D2&v4&H0&+0&!R&z2:19].[O&D1&v2&H0&+0&!R:11]~[*:10](~[O&D1&v2&H1&+0&!R:12])~[*:9]~[*:6](~[O&D1&v2&H0&+0&!R:7])(~[O&D1&v2&H1&+0&!R:8])~[O&D1&v2&H1&+0&!R:5].[n&D3&v4&H0&+&R:17](-[C&D3&v4&H1&+0&R&z2:4]1-[O&D2&v2&H0&+0&R:3]-[C@@&D3&v4&H1&+0&R&z1:2](-[C&D2&v4&H2&+0&!R&z1:1])-[C@&D3&v4&H1&+0&R&z1:15](-[O&D1&v2&H1&+0&!R:16])~[H1@@:13]~1~[O&D1&v2&H1&+0&!R:14]):[c&D2&v4&H1&+0&R&z1:18],[8],[2]
