id,smarts,rc_plus_0_id
0,[*:1]-[C&D2&v4&H0&+0&!R&z2:2]#[N&D1&v3&H0&+0&!R:3].[O&D0&v2&H2&+0&!R:4]>>[*:1]-[C&D3&v4&H0&+0&!R&z3:2](-[N&D1&v3&H2&+0&!R:3])=[O&D1&v2&H0&+0&!R:4],549
1,[*:1]-[C&D2&v4&H0&+0&!R&z2:2]#[N&D1&v3&H0&+0&!R:3].[O&D0&v2&H2&+0&!R:4]>>[*:1]-[C&D2&v4&H1&+0&!R&z2:2]=[N&D2&v3&H0&+0&!R:3]-[O&D1&v2&H1&+0&!R:4],785
2,[*:1]-[C&D3&v4&H1&+0&!R&z3:2](-[*:3])-[S&D1&v2&H1&+0&!R:4].[*:5]-[C&D3&v4&H1&+0&!R&z3:6](-[*:7])-[S&D1&v2&H1&+0&!R:8].[O&D1&v2&H0&+0&!R:9]=[O&D1&v2&H0&+0&!R:10]>>[*:1]-[C&D3&v4&H1&+0&!R&z3:2](-[*:3])-[S&D2&v2&H0&+0&!R:4]-[S&D2&v2&H0&+0&!R:8]-[C&D3&v4&H1&+0&!R&z3:6](-[*:5])-[*:7].[O&D1&v2&H1&+0&!R:9]-[O&D1&v2&H1&+0&!R:10],747
3,[*:1]-[C&D3&v4&H1&+0&!R&z3:2](-[*:3])-[S&D2&v2&H0&+0&!R:4]-[S&D2&v2&H0&+0&!R:5]-[C&D3&v4&H1&+0&!R&z3:6](-[*:7])-[*:8].[O&D1&v2&H1&+0&!R:9]-[O&D1&v2&H1&+0&!R:10]>>[*:1]-[C&D3&v4&H1&+0&!R&z3:2](-[*:3])-[S&D1&v2&H1&+0&!R:4].[*:7]-[C&D3&v4&H1&+0&!R&z3:6](-[*:8])-[S&D1&v2&H1&+0&!R:5].[O&D1&v2&H0&+0&!R:9]=[O&D1&v2&H0&+0&!R:10],225
4,[*:1]-[C&D3&v4&H0&+0&!R&z1:2](=[C&D2&v4&H1&+0&!R&z0:3]-[c&D3&v4&H0&+0&R&z0:4](:[c&D3&v4&H0&+0&R&z1:5](-[*:6]):[c&D3&v4&H0&+0&R&z1:7]):[c&D3&v4&H0&+0&R&z1:8](:[c&D3&v4&H0&+0&R&z1:9])-[*:10])-[C&D3&v4&H0&+0&!R&z1:11](=[O&D1&v2&H0&+0&!R:12])-[c&D3&v4&H0&+0&R&z0:13](:[c&D3&v4&H0&+0&R&z1:14]):[c&D3&v4&H0&+0&R&z1:15](:[c&D3&v4&H0&+0&R&z1:16](:[c&D3&v4&H0&+0&R&z1:17])-[*:18])-[O&D1&v2&H1&+0&!R:19]>>[c&D3&v4&H0&+0&R&z1:7]:[c&D3&v4&H0&+0&R&z1:5](-[*:6]):[c&D3&v4&H0&+0&R&z0:4](-[C&D3&v4&H1&+0&R&z1:3]1-[O&D2&v2&H0&+0&R:19]-[c&D3&v4&H0&+0&R&z1:15](:[c&D3&v4&H0&+0&R&z1:16](-[*:18]):[c&D3&v4&H0&+0&R&z1:17]):[c&D3&v4&H0&+0&R&z0:13](:[c&D3&v4&H0&+0&R&z1:14])-[C&D3&v4&H0&+0&R&z1:11](=[O&D1&v2&H0&+0&!R:12])-[C&D3&v4&H1&+0&R&z1:2]-1-[*:1]):[c&D3&v4&H0&+0&R&z1:8](-[*:10]):[c&D3&v4&H0&+0&R&z1:9],412
5,[*:1]-[C&D3&v4&H0&+0&!R&z2:2](=[N&D1&v3&H1&+0&!R:3])-[C&D3&v4&H0&+0&!R&z2:4](=[O&D1&v2&H0&+0&!R:5])-[O&D1&v2&H1&+0&!R:6].[O&D1&v2&H1&+0&!R:7]-[O&D1&v2&H1&+0&!R:8]>>[*:1]-[C&D3&v4&H1&+0&!R&z2:2](-[N&D1&v3&H2&+0&!R:3])-[C&D3&v4&H0&+0&!R&z2:4](=[O&D1&v2&H0&+0&!R:5])-[O&D1&v2&H1&+0&!R:6].[O&D1&v2&H0&+0&!R:7]=[O&D1&v2&H0&+0&!R:8],680
6,[*:1]-[C&D3&v4&H0&+0&!R&z3:2](=[N&D2&v3&H0&+0&!R:3]-[O&D2&v2&H0&+0&!R:4])-[S&D2&v2&H0&+0&!R:5]-[C&D3&v4&H1&+0&R&z2:6]1-[O&D2&v2&H0&+0&R:7]-[C&D3&v4&H1&+0&R&z1:8](-[C&D2&v4&H2&+0&!R&z1:9])-[C&D3&v4&H1&+0&R&z1:10]-[C&D3&v4&H1&+0&R&z1:11](-[O&D1&v2&H1&+0&!R:12])-[C&D3&v4&H1&+0&R&z1:13]-1-[O&D1&v2&H1&+0&!R:14].[O&D0&v2&H2&+0&!R:15]>>[*:1]-[C&D3&v4&H0&+0&!R&z3:2](-[S&D1&v2&H1&+0&!R:5])=[N&D2&v3&H0&+0&!R:3]-[O&D2&v2&H0&+0&!R:4].[C&D2&v4&H2&+0&!R&z1:9]-[C&D3&v4&H1&+0&R&z1:8]1-[O&D2&v2&H0&+0&R:7]-[C&D3&v4&H1&+0&R&z2:6](-[O&D1&v2&H1&+0&!R:15])-[C&D3&v4&H1&+0&R&z1:13](-[O&D1&v2&H1&+0&!R:14])-[C&D3&v4&H1&+0&R&z1:11](-[O&D1&v2&H1&+0&!R:12])-[C&D3&v4&H1&+0&R&z1:10]-1,139
7,[*:1]-[C&D3&v4&H0&+0&!R&z2:2](=[O&D1&v2&H0&+0&!R:3])-[C&D3&v4&H1&+0&!R&z1:4](-[*:5])-[C&D3&v4&H0&+0&!R&z2:6](=[O&D1&v2&H0&+0&!R:7])-[O&D1&v2&H1&+0&!R:8].[N&D1&v3&H2&+0&!R:9]-[C&D3&v4&H0&+0&!R&z2:10](=[O&D1&v2&H0&+0&!R:11])-[C&D3&v4&H0&+0&R&z0:12]1=[C&D2&v4&H1&+0&R&z1:13]-[N&D3&v3&H0&+0&R:14](-[C&D3&v4&H1&+0&R&z2:15]2-[O&D2&v2&H0&+0&R:16]-[C&D3&v4&H1&+0&R&z1:17]-[C&D3&v4&H1&+0&R&z1:18]-[C&D3&v4&H1&+0&R&z1:19]-2-[O&D1&v2&H1&+0&!R:20])-[C&D2&v4&H1&+0&R&z1:21]=[C&D2&v4&H1&+0&R&z0:22]-[C&D2&v4&H2&+0&R&z0:23]-1>>[*:1]-[C&D3&v4&H1&+0&!R&z2:2](-[O&D1&v2&H1&+0&!R:3])-[C&D3&v4&H1&+0&!R&z1:4](-[*:5])-[C&D3&v4&H0&+0&!R&z2:6](=[O&D1&v2&H0&+0&!R:7])-[O&D1&v2&H1&+0&!R:8].[N&D1&v3&H2&+0&!R:9]-[C&D3&v4&H0&+0&!R&z2:10](=[O&D1&v2&H0&+0&!R:11])-[c&D3&v4&H0&+0&R&z0:12]1:[c&D2&v4&H1&+0&R&z0:23]:[c&D2&v4&H1&+0&R&z0:22]:[c&D2&v4&H1&+0&R&z1:21]:[n&D3&v4&H0&+&R:14](-[C&D3&v4&H1&+0&R&z2:15]2-[O&D2&v2&H0&+0&R:16]-[C&D3&v4&H1&+0&R&z1:17]-[C&D3&v4&H1&+0&R&z1:18]-[C&D3&v4&H1&+0&R&z1:19]-2-[O&D1&v2&H1&+0&!R:20]):[c&D2&v4&H1&+0&R&z1:13]:1,559
8,[*:1]-[C&D3&v4&H0&+0&!R&z2:2](=[O&D1&v2&H0&+0&!R:3])-[C&D3&v4&H1&+0&!R&z2:4](-[*:5])-[N&D1&v3&H2&+0&!R:6].[*:7]-[C&D3&v4&H1&+0&!R&z2:8](-[N&D2&v3&H1&+0&!R:9]-[C&D3&v4&H0&+0&!R&z2:10](=[O&D1&v2&H0&+0&!R:11])-[C&D2&v4&H2&+0&!R&z0:12]-[C&D2&v4&H2&+0&!R&z0:13]-[C&D3&v4&H1&+0&!R&z1:14])-[C&D3&v4&H0&+0&!R&z2:15](=[O&D1&v2&H0&+0&!R:16])-[O&D1&v2&H1&+0&!R:17]>>[*:1]-[C&D3&v4&H0&+0&!R&z2:2](=[O&D1&v2&H0&+0&!R:3])-[C&D3&v4&H1&+0&!R&z2:4](-[*:5])-[N&D2&v3&H1&+0&!R:6]-[C&D3&v4&H0&+0&!R&z2:10](=[O&D1&v2&H0&+0&!R:11])-[C&D2&v4&H2&+0&!R&z0:12]-[C&D2&v4&H2&+0&!R&z0:13]-[C&D3&v4&H1&+0&!R&z1:14].[*:7]-[C&D3&v4&H1&+0&!R&z2:8](-[N&D1&v3&H2&+0&!R:9])-[C&D3&v4&H0&+0&!R&z2:15](=[O&D1&v2&H0&+0&!R:16])-[O&D1&v2&H1&+0&!R:17],316
9,[*:1]-[C&D3&v4&H0&+0&!R&z2:2](=[O&D1&v2&H0&+0&!R:3])-[C&D3&v4&H1&+0&!R&z2:4](-[*:5])-[N&D1&v3&H2&+0&!R:6].[C&D2&v4&H2&+0&!R&z1:7]-[C&D3&v4&H1&+0&R&z1:8]1-[O&D2&v2&H0&+0&R:9]-[C&D3&v4&H1&+0&R&z2:10]-[C&D3&v4&H1&+0&R&z1:11](-[O&D1&v2&H1&+0&!R:12])-[C&D3&v4&H1&+0&R&z1:13]-1-[O&D2&v2&H0&+0&!R:14]-[C&D3&v4&H0&+0&!R&z2:15](=[O&D1&v2&H0&+0&!R:16])-[C&D3&v4&H1&+0&!R&z1:17](-[N&D1&v3&H2&+0&!R:18])-[C&D2&v4&H2&+0&!R&z0:19]-[C&D2&v4&H2&+0&!R&z0:20]>>[*:1]-[C&D3&v4&H0&+0&!R&z2:2](=[O&D1&v2&H0&+0&!R:3])-[C&D3&v4&H1&+0&!R&z2:4](-[*:5])-[N&D2&v3&H1&+0&!R:6]-[C&D3&v4&H0&+0&!R&z2:15](=[O&D1&v2&H0&+0&!R:16])-[C&D3&v4&H1&+0&!R&z1:17](-[N&D1&v3&H2&+0&!R:18])-[C&D2&v4&H2&+0&!R&z0:19]-[C&D2&v4&H2&+0&!R&z0:20].[C&D2&v4&H2&+0&!R&z1:7]-[C&D3&v4&H1&+0&R&z1:8]1-[O&D2&v2&H0&+0&R:9]-[C&D3&v4&H1&+0&R&z2:10]-[C&D3&v4&H1&+0&R&z1:11](-[O&D1&v2&H1&+0&!R:12])-[C&D3&v4&H1&+0&R&z1:13]-1-[O&D1&v2&H1&+0&!R:14],175
